ipw_p2,ipw_p1,ipw_p0,pinSaturation,minPhotonSetting,ipwChi2,pinChi2,pin_p0,pin_p1,maxPhotonOutput,PINrms,channel
0.126158171309,-2155.36460835,9206552.28417,2412511.23941,655.141865829,0.068970650317,0.0193523012057,-57855.5710751,18.9918920081,2412511.23941,1807.72775,1
0.130227134223,-1770.61494975,6019149.10191,2204549.27166,669.698662322,0.116281684042,0.0109964010247,-52046.1189656,20.4259159055,2204549.27166,1810.75739,2
0.0761879938967,-1326.15174811,5771674.38364,1750792.47588,822.675038266,0.0294239388188,0.0071946823819,-46969.5083694,15.3568616911,1750792.47588,1812.9867,3
0.0623388635552,-834.037563806,2789796.88376,844181.159117,129.980290078,0.0287517128247,0.0318203130919,-20794.3635533,8.3240313266,868950.00416,1832.47691,4
0.144721920467,-2268.29997841,8889008.40518,2332527.13604,954.723555351,0.0727981918893,0.0123962173432,-45377.3380234,20.8573797931,2332527.13604,1833.33005,5
0.105195333546,-1482.7561699,5225452.04359,1520380.85569,491.521862376,0.046522036515,0.00855484748682,-36716.9083971,15.8117159803,1520380.85569,1794.62428,6
0.0840613181102,-1069.65894947,3403094.30189,1086761.11774,309.602889379,0.0551453535122,0.0105233768558,-27589.0575409,9.53822891191,1086761.11774,1811.25178,7
0.102284061506,-1725.10896148,7274579.50302,2099786.42626,716.681257767,0.0693579038237,0.0176121187191,-83952.3216097,21.1137297676,2099786.42626,1801.08119,8
0.20862245433,-3212.70137758,12368992.1307,3261946.04606,416.832048716,0.250907508708,0.0252749221331,-86098.171646,25.4106150071,3261946.04606,1810.16747,9
0.190402214118,-1967.81294918,5080073.11309,1750917.83764,-4279.26813999,0.146286743677,0.0292985210791,-57395.8490037,19.9242223412,1750917.83764,1773.40371,10
0.042226377074,-666.917129643,2632960.29594,937969.901814,-337.234130635,1.03633770392,0.0289295528931,-31774.1203943,10.6000033454,937969.901814,1800.69665,11
0.106945677065,-2028.93058331,9619614.34237,3261294.4948,-3400.40883428,0.119882276986,0.0173182540354,-56440.7771557,27.3030391545,3261294.4948,1840.91244,12
0.163798768444,-2017.21321147,6211014.15086,2080856.80015,422.369268433,0.0433814241105,0.00901802409896,-42893.1081375,19.1910825236,2080856.80015,1805.95043,13
0.101333264552,-1763.68290952,7674907.37577,2711838.83895,780.278710851,0.0959487770952,0.00529064234017,-55977.3008322,27.9924795426,2711838.83895,1836.7532,14
0.113804371327,-1950.83628007,8361539.19962,2503095.00968,1222.83558363,0.0408015833871,0.00620746922798,-49152.6970476,21.1220150461,2503095.00968,1805.95317,15
0.0726696122469,-1036.38457277,3694791.1001,1415238.62602,-333.139158618,0.133590979458,0.0159719972338,-29830.9838168,10.7453474353,1415238.62602,1794.19367,16
0.20560296362,-3095.62752068,11652582.8754,3289195.7344,380.034934217,0.255213814662,0.0135412206163,-90633.1383986,33.5337178166,3289195.7344,1826.30091,17
